
code	|	name	|	preferred name	|	taxid
3	|	Acanthognathus brevicornis	|	 	|	 
3	|	Acanthognathus laevigatus	|	 	|	 
3	|	Acanthognathus lentus	|	 	|	 
1	|	Acanthognathus ocellatus	|	 	|	411800
3	|	Acanthognathus rudis	|	 	|	 
3	|	Acanthognathus stipulosus	|	 	|	 
3	|	Acanthognathus teledectus	|	 	|	 
3	|	Acanthomyrmex basispinosus	|	 	|	 
1	|	Acanthomyrmex careoscrobis	|	 	|	602933
3	|	Acanthomyrmex concavus	|	 	|	 
3	|	Acanthomyrmex crassispinus	|	 	|	 
3	|	Acanthomyrmex dusun	|	 	|	 
1	|	Acanthomyrmex ferox	|	 	|	602937
3	|	Acanthomyrmex foveolatus	|	 	|	 
3	|	Acanthomyrmex glabfemoralis	|	 	|	 
3	|	Acanthomyrmex humilis	|	 	|	 
3	|	Acanthomyrmex laevis	|	 	|	 
3	|	Acanthomyrmex luciolae	|	 	|	 
3	|	Acanthomyrmex malikuli	|	 	|	 
3	|	Acanthomyrmex mindanao	|	 	|	 
3	|	Acanthomyrmex minus	|	 	|	 
3	|	Acanthomyrmex mizunoi	|	 	|	 
3	|	Acanthomyrmex notabilis	|	 	|	 
3	|	Acanthomyrmex padanensis	|	 	|	 
3	|	Acanthomyrmex sulawesiensis	|	 	|	 
3	|	Acanthomyrmex thailandensis	|	 	|	 
3	|	Acanthoponera goeldii	|	 	|	 
1	|	Acanthoponera minor	|	 	|	411730
3	|	Acanthoponera mucronata	|	 	|	 
3	|	Acanthoponera peruviana	|	 	|	 
3	|	Acanthostichus arizonensis	|	 	|	 
3	|	Acanthostichus bentoni	|	 	|	 
1	|	Acanthostichus brevicornis	|	 	|	232189
3	|	Acanthostichus brevinodis	|	 	|	 
3	|	Acanthostichus concavinodis	|	 	|	 
3	|	Acanthostichus davisi	|	 	|	 
3	|	Acanthostichus emmae	|	 	|	 
3	|	Acanthostichus femoralis	|	 	|	 
3	|	Acanthostichus flexuosus	|	 	|	 
3	|	Acanthostichus fuscipennis	|	 	|	 
1	|	Acanthostichus kirbyi	|	 	|	309835
