
code	|	name	|	preferred name	|	taxid
1	|	Acangaobitermes krishnai	|	 	|	1972814
1	|	Acanthotermes acanthothorax	|	 	|	187525
1	|	Acholotermes chirotus	|	 	|	1934430
3	|	Acholotermes epius	|	 	|	 
3	|	Acholotermes imbellis	|	 	|	 
3	|	Acholotermes socialis	|	 	|	 
3	|	Acholotermes tithasus	|	 	|	 
1	|	Aciculitermes aciculatus	|	 	|	1934431
1	|	Aciculitermes maymyoensis	|	 	|	229658
1	|	Acidnotermes praus	|	 	|	1934432
3	|	Acorhinotermes claritae	|	 	|	 
3	|	Acorhinotermes subfusciceps	|	 	|	 
3	|	Acutidentitermes osborni	|	 	|	 
1	|	Adaiphrotermes choanensis	|	 	|	377845
3	|	Adaiphrotermes cuniculator	|	 	|	 
3	|	Adaiphrotermes scapheutes	|	 	|	 
1	|	Aderitotermes cavator	|	 	|	377849
1	|	Aderitotermes fossor	|	 	|	377850
1	|	Adynatotermes moretelae	|	 	|	377851
3	|	Afrosubulitermes congoensis	|	 	|	 
3	|	Aganotermes oryctes	|	 	|	 
1	|	Agnathotermes crassinasus	|	 	|	1934436
1	|	Agnathotermes glaber	|	 	|	2358276
3	|	Ahamitermes hillii	|	 	|	 
3	|	Ahamitermes inclusus	|	 	|	 
3	|	Ahamitermes nidicola	|	 	|	 
3	|	Ahmaditermes choui	|	 	|	 
3	|	Ahmaditermes crassinasus	|	 	|	 
3	|	Ahmaditermes deltocephalus	|	 	|	 
3	|	Ahmaditermes dukouensis	|	 	|	 
3	|	Ahmaditermes emersoni	|	 	|	 
3	|	Ahmaditermes foveafrons	|	 	|	 
3	|	Ahmaditermes guizhouensis	|	 	|	 
3	|	Ahmaditermes laticephalus	|	 	|	 
3	|	Ahmaditermes lipingensis	|	 	|	 
3	|	Ahmaditermes perisinuosus	|	 	|	 
3	|	Ahmaditermes pingnanensis	|	 	|	 
3	|	Ahmaditermes pyricephalus	|	 	|	 
3	|	Ahmaditermes sichuanensis	|	 	|	 
3	|	Ahmaditermes sikkimensis	|	 	|	 
3	|	Ahmaditermes sinensis	|	 	|	 
3	|	Ahmaditermes sinuosus	|	 	|	 
3	|	Ahmaditermes tianmuensis	|	 	|	 
3	|	Ahmaditermes tiantongensis	|	 	|	 
3	|	Ahmaditermes xiangyunensis	|	 	|	 
3	|	Allodontermes rhodesiensis	|	 	|	 
1	|	Allodontermes schultzei	|	 	|	377694
1	|	Allodontermes tenax	|	 	|	315798
3	|	Allognathotermes aburiensis	|	 	|	 
3	|	Allognathotermes hypogeus	|	 	|	 
1	|	Allognathotermes ivorensis	|	 	|	377852
3	|	Allotermes denticulatus	|	 	|	 
3	|	Allotermes papillifer	|	 	|	 
3	|	Allotermes paradoxus	|	 	|	 
1	|	Alyscotermes kilimandjaricus	|	 	|	377853
1	|	Alyscotermes trestus	|	 	|	1236674
1	|	Amalotermes phaeocephalus	|	 	|	201534
3	|	Amicotermes autothysius	|	 	|	 
3	|	Amicotermes camerunensis	|	 	|	 
3	|	Amicotermes congoensis	|	 	|	 
3	|	Amicotermes cristatus	|	 	|	 
3	|	Amicotermes dibogi	|	 	|	 
3	|	Amicotermes galenus	|	 	|	 
3	|	Amicotermes gasteruptus	|	 	|	 
3	|	Amicotermes ivorensis	|	 	|	 
3	|	Amicotermes mayombei	|	 	|	 
3	|	Amicotermes mbalmayoensis	|	 	|	 
3	|	Amicotermes multispinus	|	 	|	 
3	|	Amicotermes spiculatus	|	 	|	 
3	|	Amitermes abruptus	|	 	|	 
3	|	Amitermes accinctus	|	 	|	 
3	|	Amitermes acinacifer	|	 	|	 
3	|	Amitermes aduncus	|	 	|	 
3	|	Amitermes agrilus	|	 	|	 
1	|	Amitermes amicki	|	 	|	2497005
1	|	Amitermes amifer	|	 	|	1972815
3	|	Amitermes aporema	|	 	|	 
3	|	Amitermes arboreus	|	 	|	 
3	|	Amitermes arcuatus	|	 	|	 
3	|	Amitermes baluchistanicus	|	 	|	 
3	|	Amitermes bandeirai	|	 	|	 
3	|	Amitermes basidens	|	 	|	 
1	|	Amitermes beaumonti	|	 	|	377854
1	|	Amitermes belli	|	 	|	1685048
3	|	Amitermes boreus	|	 	|	 
3	|	Amitermes braunsi	|	 	|	 
3	|	Amitermes calabyi	|	 	|	 
1	|	Amitermes capito	|	 	|	1934439
3	|	Amitermes coachellae	|	 	|	 
3	|	Amitermes colonus	|	 	|	 
1	|	Amitermes conformis	|	 	|	377855
3	|	Amitermes corpulentus	|	 	|	 
3	|	Amitermes cryptodon	|	 	|	 
